tgl;komoditas;area_provinsi;area_kota;size;price;tgl_parsed;timestamp;source;Total sales value
2020-09-07;lele;Jawa Barat;Cirebon;4;;2020-09-06T17:00:00.000Z;1599436800;kso-suganda;0
2020-09-07;lele;Jawa Barat;Cirebon;8;;2020-09-06T17:00:00.000Z;1599436800;kso-suganda;0
2020-09-07;udang;JAWA TIMUR;PACITAN;60;72000;2020-09-06T17:00:00.000Z;1599411600;jala;4320000
2020-09-07;udang;JAWA TIMUR;PACITAN;70;69000;2020-09-06T17:00:00.000Z;1599411600;jala;4830000
2020-09-07;udang;JAWA TIMUR;PACITAN;80;66000;2020-09-06T17:00:00.000Z;1599411600;jala;5280000
2020-09-07;udang;JAWA TIMUR;PACITAN;90;63000;2020-09-06T17:00:00.000Z;1599411600;jala;5670000
2020-09-07;udang;JAWA TIMUR;PACITAN;100;60000;2020-09-06T17:00:00.000Z;1599411600;jala;6000000
2020-09-07;udang;JAWA TIMUR;TUBAN;30;97000;2020-09-06T17:00:00.000Z;1599411600;jala;2910000
2020-09-07;udang;JAWA TIMUR;TUBAN;40;87000;2020-09-06T17:00:00.000Z;1599411600;jala;3480000
2020-09-07;udang;JAWA TIMUR;TUBAN;50;77000;2020-09-06T17:00:00.000Z;1599411600;jala;3850000
2020-09-07;udang;JAWA TIMUR;TUBAN;60;74000;2020-09-06T17:00:00.000Z;1599411600;jala;4440000
2020-09-07;udang;JAWA TIMUR;TUBAN;70;71000;2020-09-06T17:00:00.000Z;1599411600;jala;4970000
2020-09-07;udang;JAWA TIMUR;TUBAN;80;68000;2020-09-06T17:00:00.000Z;1599411600;jala;5440000
2020-09-07;udang;JAWA TIMUR;TUBAN;90;65000;2020-09-06T17:00:00.000Z;1599411600;jala;5850000
2020-09-07;udang;JAWA TIMUR;TUBAN;100;62000;2020-09-06T17:00:00.000Z;1599411600;jala;6200000
2020-09-07;udang;JAWA TENGAH;PATI;30;95000;2020-09-06T17:00:00.000Z;1599411600;jala;2850000
2020-09-07;udang;JAWA TENGAH;PATI;40;85000;2020-09-06T17:00:00.000Z;1599411600;jala;3400000
2020-09-07;udang;JAWA TENGAH;PATI;50;75000;2020-09-06T17:00:00.000Z;1599411600;jala;3750000
2020-09-07;udang;JAWA TENGAH;PATI;60;72000;2020-09-06T17:00:00.000Z;1599411600;jala;4320000
2020-09-07;udang;JAWA TENGAH;PATI;70;69000;2020-09-06T17:00:00.000Z;1599411600;jala;4830000
2020-09-07;udang;JAWA TENGAH;PATI;80;66000;2020-09-06T17:00:00.000Z;1599411600;jala;5280000
2020-09-07;udang;JAWA TENGAH;PATI;90;63000;2020-09-06T17:00:00.000Z;1599411600;jala;5670000
2020-09-07;udang;JAWA TENGAH;PATI;100;60000;2020-09-06T17:00:00.000Z;1599411600;jala;6000000
2020-09-07;udang;JAWA TIMUR;LAMONGAN;30;97000;2020-09-06T17:00:00.000Z;1599411600;jala;2910000
2020-09-07;udang;JAWA TIMUR;LAMONGAN;40;87000;2020-09-06T17:00:00.000Z;1599411600;jala;3480000
2020-09-07;udang;JAWA TIMUR;LAMONGAN;50;77000;2020-09-06T17:00:00.000Z;1599411600;jala;3850000
2020-09-07;udang;JAWA TIMUR;LAMONGAN;60;74000;2020-09-06T17:00:00.000Z;1599411600;jala;4440000
2020-09-07;udang;JAWA TIMUR;LAMONGAN;70;71000;2020-09-06T17:00:00.000Z;1599411600;jala;4970000
2020-09-07;udang;JAWA TIMUR;LAMONGAN;80;68000;2020-09-06T17:00:00.000Z;1599411600;jala;5440000
2020-09-07;udang;JAWA TIMUR;LAMONGAN;90;65000;2020-09-06T17:00:00.000Z;1599411600;jala;5850000
2020-09-07;udang;JAWA TIMUR;LAMONGAN;100;62000;2020-09-06T17:00:00.000Z;1599411600;jala;6200000
2020-09-07;udang;BALI;BULELENG;30;96000;2020-09-06T17:00:00.000Z;1599411600;jala;2880000
2020-09-07;udang;BALI;BULELENG;40;86000;2020-09-06T17:00:00.000Z;1599411600;jala;3440000
2020-09-07;udang;BALI;BULELENG;50;76000;2020-09-06T17:00:00.000Z;1599411600;jala;3800000
2020-09-07;udang;BALI;BULELENG;60;73000;2020-09-06T17:00:00.000Z;1599411600;jala;4380000
2020-09-07;udang;BALI;BULELENG;70;70000;2020-09-06T17:00:00.000Z;1599411600;jala;4900000
2020-09-07;udang;BALI;BULELENG;80;67000;2020-09-06T17:00:00.000Z;1599411600;jala;5360000
2020-09-07;udang;BALI;BULELENG;90;64000;2020-09-06T17:00:00.000Z;1599411600;jala;5760000
